SubjectID,StructuralMRI-ID
1,ta6966
2,ta7067
9,ta6556
11,ta7523
12,ta6754
14,ta7193
15,ta7196
17,ta7124
18,ta6946
19,ta7279
20,ta7096
21,ta7161
24,ta6957
25,ta7006
31,ta7264
32,ta7002
33,ta6807
34,ta6679
37,ta7221
39,ta6924
40,ta7039
42,ta6618
43,ta6943
45,ta6827
46,ta6890
50,ta7019
51,ta6647
54,ta6520
61,ta7248
62,ta6589
66,ta6713
69,ta6921
71,ta6744
73,ta6871
77,ta6773
78,ta6778
80,ta7139
81,ta6888
82,ta6858
83,ta6811
84,ta6861
85,ta7071
86,ta7093
87,ta7121
88,ta7207
89,ta7165
90,ta7036
92,ta7317
94,ta7329
95,ta7290
97,ta7375
98,ta7389
99,ta7331
100,ta7350
102,ta7224
103,ta7406
106,ta7251
107,ta7387
108,ta7436
109,ta7451
110,ta7484
112,ta7508
113,ta7521
114,ta7475
115,ta7454
117,ta7538
121,ta8223
124,ta8106
130,ta9145
131,ta8166
133,ta8798
136,ta8168
140,ta8711
142,ta8837
144,ta8730
146,ta8679
154,ta8155
161,ta8048
162,ta8090
164,ta8193
165,ta8121
166,ta8133
167,ta8064
169,ta8378
170,ta8394
171,ta8351
172,ta8412
173,ta8391
175,ta8424
176,ta8609
177,ta8438
178,ta8566
180,ta8612
181,ta8656
183,ta8629
184,ta8915
185,ta8864
186,ta8597
189,ta8653
191,ta8667
192,ta9068
195,ta8763
200,ta8882
203,ta8895
207,ta9010
212,ta8952
214,ta8938
219,ta9031
221,ta9088
229,ta9276
284,tb4081
293,tb4398
305,tb4145
306,tb4179
307,tb4111
315,tb4216
317,tb4202
320,tb4331
321,tb4380
323,tb4492
324,tb4290
325,tb4441
327,tb4413
329,tb4603
333,tb4573
338,tb4670
341,tb4771
342,tb4754
343,tb4776
349,tb4847
357,tb4801
1000,tb5688
1001,tb5689
1002,tb5762
1003,tb5976
1004,tb5833
1005,tb5868
1006,tb5896
1007,tb5914
1008,tb5986
1010,tb5985
1011,tb6048
1012,tb6082
1013,tb6150
1014,tb6199
1015,tb6121
1016,tb6301
1017,tb6236
1018,tb6162
1019,tb6163
1020,tb6703
1021,tb6333
1022,tb6367
1023,tb6419
1024,tb6366
1027,tb6487
1028,tb6563
1029,tb6601
1030,tb6521
1031,tb6562
1034,tb6812
1035,tb6843
1036,tb6813
1037,tb6663
1038,tb6631
1040,tb6704
1042,tb6874
1043,tb6842
1044,tb6899
1045,tb7000
1046,tb6930
1047,tb6964
1048,tb7153
1049,tb7001
1050,tb7065
1051,tb7066
1053,tb7187
1054,tb7125
1055,tb7224
1056,tb7345
1057,tb7427
1058,tb7376
1059,tb7375
1061,tb7428
1062,tb7490
1063,tb7521
1064,tb7658
1065,tb7693
1066,tb8136
1067,tb7729
1068,tb7763
1069,tb7764
1070,tb7998
1071,tb8035
1072,tb8135
1073,tb8068
1074,tb8101
1075,tb8111
1076,tb8159
1077,tb8199
1078,tb8291
1080,tb8329
1081,tb8357
1082,tb8393
1083,tb8403
1084,tb8777
1085,tb8503
1085,tb8503
1087,tb8462
1088,tb8461
1089,tb8437
1091,tb8595
1092,tb8704
1093,tb8562
1094,tb8561
1095,tb8630
1096,tb8703
1097,tb8632
1098,tb8965
1099,tb8818
1100,tb8641
1101,tb8883
1102,tb8748
1104,tb8848
1106,tb0027
1108,tb9148
1109,tb9065
1112,tb8989
1113,tb8930
1114,tb8941
1115,tb9100
1116,tb9077
1117,tb9026
1118,tb9027
1119,tb9292
1120,tb9355
1121,tb9219
1122,tb9158
1125,tb9331
1126,tb9149
1127,tb9332
1128,tb9354
1129,tb9369
1130,tb1249
1134,tb9440
1135,tb9462
1136,tb9406
1137,tb9392
1140,tb9405
1142,tb9425
1143,tb9367
1144,tb9368
1146,tb9661
1147,tb9804
1148,tb9434
1149,tb9482
1150,tb9881
1152,tb9769
1153,tb9512
1154,tb9614
1156,tb9548
1157,tb9727
1160,tb9692
1161,tb9660
1162,tb9587
1163,tb9639
1165,tb0138
1167,tb9728
1168,tb9841
1169,tb0093
1174,tb276
1175,tb0065
1176,tb0313
1177,tb9941
1178,tb0094
1179,tb0349
1180,tb0170
1181,tb0202
1182,tb0169
1183,tb0137
1184,tb0312
1185,tb0275
1186,tb0716
1187,tb0456
1188,tb1524
1189,tb0498
1190,tb0543
1191,tb0593
1195,tb0717
1196,tb0782
1197,tb1314
1198,tb1063
1200,tb1208
1201,tb1147
1203,tb1401
1204,tb1313
4002,tb8466
4004,tb8043
4007,tb7522
4009,tb7772
4010,tb9579
4013,tb7457
4014,tb7740
4016,tb8267
4021,tb8082
4022,tb8605
4023,tb8676
4026,tb8102
4030,tb8247
4033,tb8301
4034,tb8535
4036,tb0247
4038,tb9518
4039,tb9066
4040,tb9363
4041,tb9267
4042,tb8858
4045,tb0603
4047,tb8898
4048,tb9404
4050,tb9302
4051,tb9038
4055,tb9327
4057,tb9256
4059,tb9122
4060,tb9317
4062,tb9438
4063,tb9183
4070,tb9401
4071,tb9366
4076,tb9330
4078,tb9437
4081,tb9489
4082,tb9492
4084,tb9613
4085,tb9700
4088,tb9775
4090,tb9814
4091,tb0322
4102,tb0209
4114,tb0467
4121,tb0650
4123,tb0511
4132,tb1109
4151,tb3042
4167,tb2272
